순서,자사/타사,벌크코드,벌크명,L,a*,b*,△E,h,C
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.13813178,31.49340248
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.05867063,31.63687248
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.38523081,22.20807511
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.45617932,22.31642669
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.19621398,28.59225769
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.11062658,28.64395399
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.42814411,22.2444465
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.36283117,22.33307189
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.48225543,28.91740134
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.39521364,28.89349062
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,75.50372206,17.21815902
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,75.47869091,17.18911574
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.73072228,18.47400606
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.78576864,18.63796394
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,73.44367261,19.96786669
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,73.44964071,19.90465523
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,72.82780324,18.79798127
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,72.96410185,18.90973294
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,73.83743198,20.65642999
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,73.74201608,20.64560002
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.83365603,22.29587406
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.77216608,22.16652657
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.75240018,22.29630014
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.27421276,19.9352552
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.19081352,19.8500403
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.36911374,19.96605119
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.58650874,20.02213026
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.57605621,20.01282089
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.94009135,19.7563281
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.90657171,19.67467662
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.8857798,22.03193364
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.99091309,22.12390562
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,76.1801066,22.48078735
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,76.20561214,22.98288059
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,76.26588357,22.9975477
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,76.27234906,22.96603144
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.84438816,22.12504463
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.00736641,22.09271826
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.79327225,22.06837556
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.56962055,20.77284766
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.35956766,20.77329536
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.55594719,20.53520148
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.77951916,20.62036372
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.7502074,20.57047399
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.44975522,23.07002384
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.47763445,23.16153061
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.18479281,23.34761016
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.10781125,23.37946321
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,74.03167594,24.02711177
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,73.98583411,24.03262158
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.36475634,21.1680821
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.36834238,21.28512156
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.50152687,22.1313217
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.54349519,22.23199946
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.66374592,21.27859253
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.78270098,21.36825917
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.35040316,21.67513783
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.44306221,21.82400971
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.50809953,21.75776643
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.36508292,24.46242016
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.38233918,24.51287417
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,72.3193727,25.22135008
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,72.34790892,25.22784374
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.64161791,22.92331564
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.54768919,22.88471324
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.62022113,22.16661002
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.70301779,22.26184404
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.7535361,22.32976713
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.85526543,22.34483609
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.73847454,22.21437598
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.78796082,22.34902235
